Process_ID,Process_Name,Department,Task_Name,Duration_Hours,Cost_USD,Responsible,Status,Start_Date,End_Date,Error_Rate
774,Product Launch,HR,Receive Invoice,4,204,Alice White,Pending,2023-11-28,,6.420229657452775
350,Customer Onboarding,HR,Testing,16,1376,John Brown,Completed,2023-02-26,2023-02-26 16:00:00,2.7238161781943084
388,Customer Onboarding,HR,Review Documents,7,623,Alex Smith,Pending,2023-04-28,,7.546303010090803
73,Employee Recruitment,HR,Launch Campaign,19,1463,Charlie Doe,Pending,2023-07-05,,9.341723370987443
680,Invoice Processing,Marketing,Product Design,2,178,Charlie Green,Completed,2023-09-28,2023-09-28 02:00:00,2.3017643758141926
121,Employee Recruitment,Sales,Conduct Interviews,19,323,Charlie Doe,In Progress,2023-10-07,,7.273736887705946
962,Product Launch,IT,Review Documents,16,1488,Charlie Doe,Pending,2023-07-26,,8.29975323970524
940,Customer Onboarding,HR,Testing,19,760,Alice Doe,Completed,2023-05-05,2023-05-05 19:00:00,4.136857600045874
952,Product Launch,Finance,Job Posting,16,768,Charlie Green,Completed,2023-05-28,2023-05-28 16:00:00,6.4322420502813396
650,Software Development,Finance,Review Documents,16,1440,Bob White,Pending,2023-01-07,,3.7532401384781986
574,Employee Recruitment,Finance,Initial Contact,9,747,Charlie Black,In Progress,2023-01-11,,5.888919024852002
82,Employee Recruitment,HR,Requirements Gathering,17,1445,Bob Brown,Completed,2023-12-16,2023-12-16 17:00:00,7.802455864825289
962,Employee Recruitment,IT,Verify Invoice,16,688,Bob Black,Pending,2023-10-20,,8.377888930536804
614,Software Development,Finance,Product Design,1,96,John Doe,Pending,2023-11-13,,5.868119384071775
775,Employee Recruitment,Sales,Collect Documents,2,60,John Brown,Pending,2023-05-19,,2.6464575156065964
256,Product Launch,Sales,Review Documents,1,56,Alex Black,Completed,2023-10-12,2023-10-12 01:00:00,4.190847754212354
979,Product Launch,Marketing,Approve Invoice,8,160,Charlie Brown,Completed,2023-05-28,2023-05-28 08:00:00,6.392188888023166
317,Invoice Processing,Marketing,Collect Documents,17,1598,Alice Doe,Completed,2023-10-14,2023-10-14 17:00:00,1.892758304382054
633,Software Development,Finance,Launch Campaign,12,636,Bob Doe,Pending,2023-08-04,,0.6078879716626229
232,Software Development,Finance,Product Design,18,612,Charlie Doe,Pending,2023-06-11,,4.260397951387142
641,Employee Recruitment,Finance,Product Design,8,200,John Doe,Pending,2023-06-04,,0.06845570521030853
342,Invoice Processing,Sales,Receive Invoice,20,500,Jane White,In Progress,2023-06-17,,7.993322146667349
733,Customer Onboarding,Finance,Review Documents,3,258,Charlie White,Completed,2023-12-26,2023-12-26 03:00:00,1.250575740457468
768,Software Development,Finance,Testing,9,810,Charlie Doe,Completed,2023-06-09,2023-06-09 09:00:00,3.604888120041193
524,Software Development,HR,Product Design,3,36,Jane Doe,In Progress,2023-01-28,,2.9041202485720063
323,Customer Onboarding,Marketing,Coding,1,86,Jane Doe,In Progress,2023-02-10,,4.303972267668231
501,Invoice Processing,Marketing,Job Posting,19,836,Jane Doe,Completed,2023-10-27,2023-10-27 19:00:00,7.898968525694166
