,Process_ID,Process_Name,Department,Task_Name,Duration_Hours,Cost_USD,Responsible,Status,Start_Date,End_Date,Error_Rate
0,774,Product Launch,HR,Receive Invoice,4,204,Alice White,Pending,2023-11-28,,6.420229657452775
1,350,Customer Onboarding,HR,Testing,16,1376,John Brown,Completed,2023-02-26,2023-02-26 16:00:00,2.7238161781943084
2,388,Customer Onboarding,HR,Review Documents,7,623,Alex Smith,Pending,2023-04-28,,7.546303010090803
3,73,Employee Recruitment,HR,Launch Campaign,19,1463,Charlie Doe,Pending,2023-07-05,,9.341723370987443
4,680,Invoice Processing,Marketing,Product Design,2,178,Charlie Green,Completed,2023-09-28,2023-09-28 02:00:00,2.301764375814193
5,121,Employee Recruitment,Sales,Conduct Interviews,19,323,Charlie Doe,In Progress,2023-10-07,,7.273736887705946
6,962,Product Launch,IT,Review Documents,16,1488,Charlie Doe,Pending,2023-07-26,,8.29975323970524
7,940,Customer Onboarding,HR,Testing,19,760,Alice Doe,Completed,2023-05-05,2023-05-05 19:00:00,4.136857600045874
8,952,Product Launch,Finance,Job Posting,16,768,Charlie Green,Completed,2023-05-28,2023-05-28 16:00:00,6.43224205028134
9,650,Software Development,Finance,Review Documents,16,1440,Bob White,Pending,2023-01-07,,3.753240138478199
10,574,Employee Recruitment,Finance,Initial Contact,9,747,Charlie Black,In Progress,2023-01-11,,5.888919024852002
11,82,Employee Recruitment,HR,Requirements Gathering,17,1445,Bob Brown,Completed,2023-12-16,2023-12-16 17:00:00,7.802455864825289
12,962,Employee Recruitment,IT,Verify Invoice,16,688,Bob Black,Pending,2023-10-20,,8.377888930536804
13,614,Software Development,Finance,Product Design,1,96,John Doe,Pending,2023-11-13,,5.868119384071775
14,775,Employee Recruitment,Sales,Collect Documents,2,60,John Brown,Pending,2023-05-19,,2.6464575156065964
15,256,Product Launch,Sales,Review Documents,1,56,Alex Black,Completed,2023-10-12,2023-10-12 01:00:00,4.190847754212354
16,979,Product Launch,Marketing,Approve Invoice,8,160,Charlie Brown,Completed,2023-05-28,2023-05-28 08:00:00,6.392188888023166
17,317,Invoice Processing,Marketing,Collect Documents,17,1598,Alice Doe,Completed,2023-10-14,2023-10-14 17:00:00,1.892758304382054
18,633,Software Development,Finance,Launch Campaign,12,636,Bob Doe,Pending,2023-08-04,,0.6078879716626229
19,232,Software Development,Finance,Product Design,18,612,Charlie Doe,Pending,2023-06-11,,4.260397951387142
20,641,Employee Recruitment,Finance,Product Design,8,200,John Doe,Pending,2023-06-04,,0.0684557052103085
21,342,Invoice Processing,Sales,Receive Invoice,20,500,Jane White,In Progress,2023-06-17,,7.993322146667349
22,733,Customer Onboarding,Finance,Review Documents,3,258,Charlie White,Completed,2023-12-26,2023-12-26 03:00:00,1.250575740457468
23,768,Software Development,Finance,Testing,9,810,Charlie Doe,Completed,2023-06-09,2023-06-09 09:00:00,3.604888120041193
24,524,Software Development,HR,Product Design,3,36,Jane Doe,In Progress,2023-01-28,,2.9041202485720063
25,323,Customer Onboarding,Marketing,Coding,1,86,Jane Doe,In Progress,2023-02-10,,4.303972267668231
26,501,Invoice Processing,Marketing,Job Posting,19,836,Jane Doe,Completed,2023-10-27,2023-10-27 19:00:00,7.898968525694166
27,113,Invoice Processing,HR,Verify Invoice,6,60,Bob Brown,Pending,2023-01-16,,0.6526739841411466
28,462,Employee Recruitment,Finance,Verify Invoice,6,468,Alex Black,Pending,2023-04-14,,1.3306596191817643
29,437,Employee Recruitment,Sales,Coding,5,145,Jane Smith,Pending,2023-10-20,,3.754943872256012
30,272,Product Launch,Marketing,Product Design,20,1460,Alice Green,Pending,2023-04-10,,8.616954670040945
31,190,Invoice Processing,IT,Review Documents,14,1092,Alice White,Pending,2023-09-11,,5.803247570458819
32,532,Customer Onboarding,Marketing,Requirements Gathering,14,378,John Brown,In Progress,2023-07-26,,2.4338690124908235
33,133,Invoice Processing,IT,Receive Invoice,4,372,Jane White,Pending,2023-11-07,,9.610712357230092
34,585,Invoice Processing,IT,Screen Candidates,16,288,Alice Doe,In Progress,2023-11-02,,5.585069661225553
35,448,Employee Recruitment,Finance,Product Design,19,1121,John Doe,Pending,2023-02-10,,7.399655107941413
36,429,Product Launch,HR,Review Documents,4,208,Alice Green,In Progress,2023-06-03,,3.095733450332224
37,521,Employee Recruitment,Sales,Approve Invoice,12,1140,Alice Black,In Progress,2023-03-07,,2.237922383926697
38,593,Software Development,Marketing,Review Documents,1,57,John Smith,In Progress,2023-05-14,,0.3244449464390286
39,511,Product Launch,Marketing,Conduct Interviews,3,207,Charlie Brown,In Progress,2023-12-13,,5.467178372621366
40,290,Software Development,Marketing,Market Research,3,231,Alice Brown,Pending,2023-10-28,,5.862777916252298
41,158,Customer Onboarding,HR,Market Research,2,112,John Green,In Progress,2023-04-16,,0.8199724569044764
42,409,Invoice Processing,HR,Review Documents,19,1140,Alice White,In Progress,2023-03-31,,3.6682532224561406
43,197,Product Launch,IT,Job Posting,17,306,Alex Smith,Pending,2023-08-28,,7.468851285289534
44,31,Software Development,Finance,Requirements Gathering,20,1780,Alice White,In Progress,2023-02-10,,8.21614156896858
45,275,Employee Recruitment,HR,Collect Documents,5,275,Alice Doe,Completed,2023-02-22,2023-02-22 05:00:00,9.409383647994304
46,427,Invoice Processing,Marketing,Product Design,13,364,John Black,Pending,2023-01-21,,0.3702845630700813
47,643,Employee Recruitment,IT,Requirements Gathering,10,430,Jane Brown,In Progress,2023-05-16,,0.5817066196252341
48,204,Employee Recruitment,Sales,Initial Contact,20,1620,Bob Green,Pending,2023-10-13,,1.03733317293368
49,25,Customer Onboarding,Sales,Product Design,4,108,Jane Black,Completed,2023-10-28,2023-10-28 04:00:00,0.8829839668776684
50,692,Customer Onboarding,Sales,Product Design,11,1100,Alice Black,Pending,2023-01-07,,1.032470700071314
51,375,Customer Onboarding,Finance,Receive Invoice,6,72,Alice Green,In Progress,2023-05-09,,8.877827216198046
52,829,Employee Recruitment,Sales,Screen Candidates,13,650,John Smith,In Progress,2023-05-07,,9.952242236176028
53,720,Software Development,Sales,Job Posting,4,124,Charlie White,Completed,2023-01-22,2023-01-22 04:00:00,8.877454072969499
54,512,Invoice Processing,Sales,Launch Campaign,15,720,Charlie Smith,In Progress,2023-08-04,,7.26425391825189
55,394,Customer Onboarding,HR,Product Design,12,888,Charlie Green,In Progress,2023-11-01,,9.853399271832735
56,579,Invoice Processing,Marketing,Initial Contact,13,273,Jane Green,In Progress,2023-01-18,,7.155565482541615
57,877,Product Launch,HR,Initial Contact,4,208,John Black,Pending,2023-07-26,,8.572509883264985
58,665,Customer Onboarding,HR,Launch Campaign,20,1200,Alice Green,Pending,2023-03-08,,0.870506450664027
59,977,Invoice Processing,HR,Market Research,6,336,Alice Black,Completed,2023-08-05,2023-08-05 06:00:00,9.050052224594294
60,307,Employee Recruitment,Marketing,Verify Invoice,17,1547,Jane Doe,Completed,2023-11-02,2023-11-02 17:00:00,4.168798722847073
61,698,Software Development,HR,Coding,6,252,Bob White,Completed,2023-09-09,2023-09-09 06:00:00,3.217229096029831
62,823,Product Launch,Sales,Collect Documents,8,736,Alex Brown,Pending,2023-02-09,,0.8457283846447128
63,596,Product Launch,Sales,Coding,11,880,Charlie Smith,Pending,2023-01-15,,5.50882242338271
64,437,Product Launch,Finance,Verify Invoice,15,1140,Alex Brown,Completed,2023-12-08,2023-12-08 15:00:00,5.073352487665407
65,219,Customer Onboarding,Sales,Initial Contact,15,540,Alice Smith,Pending,2023-10-18,,1.8350639581826425
66,888,Product Launch,Marketing,Review Documents,2,106,John Doe,Pending,2023-01-19,,8.336928779530586
67,924,Invoice Processing,Marketing,Collect Documents,14,938,Jane Green,Pending,2023-02-05,,3.3703270897199724
68,157,Employee Recruitment,IT,Conduct Interviews,11,616,John Doe,Completed,2023-06-28,2023-06-28 11:00:00,9.265018202919116
69,877,Invoice Processing,Finance,Coding,9,189,Alice Black,Pending,2023-08-02,,2.8116325901215644
70,272,Customer Onboarding,IT,Job Posting,4,128,Alice Doe,In Progress,2023-10-06,,5.556341569217187
71,571,Product Launch,Marketing,Requirements Gathering,12,432,Alice Doe,Completed,2023-06-19,2023-06-19 12:00:00,2.6394982027719083
72,632,Software Development,IT,Launch Campaign,10,510,Jane Black,In Progress,2023-04-05,,9.623226104109293
